,eval/f1,eval/loss,train/loss,Name
6,0.6662337779998779,0.889963686466217,0.0003000000142492354,./results/sentiment_analysis/finbert-base/runs/events.out.tfevents.1618954890.crocoder-HP-Pavilion-Notebook
7,0.6662337779998779,0.9026395678520203,0.0003000000142492354,./results/sentiment_analysis/finbert-base/runs/events.out.tfevents.1618954890.crocoder-HP-Pavilion-Notebook
8,0.6662337779998779,0.908717691898346,0.00019999999494757503,./results/sentiment_analysis/finbert-base/runs/events.out.tfevents.1618954890.crocoder-HP-Pavilion-Notebook
0,0.29885056614875793,0.5283571481704712,0.5648999810218811,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
1,0.5740740895271301,0.36784014105796814,0.3391999900341034,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
2,0.5134032368659973,0.8056886196136475,0.10279999673366547,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
3,0.5571405291557312,0.5592450499534607,0.030400000512599945,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
4,0.5174242258071899,0.6777607202529907,0.021400000900030136,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
5,0.5571405291557312,0.5618598461151123,0.0006000000284984708,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
6,0.5472207069396973,0.6061049699783325,0.0005000000237487257,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
7,0.5472207069396973,0.6225106716156006,0.00039999998989515007,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
